Index,val_losses,val_accuracies
1,"loss 0.2653536796569824, loss 0.3058878481388092, loss 0.3114842176437378, loss 0.31100961565971375, loss 0.35122957825660706","acc 0.9397260546684265, acc 0.9089041352272034, acc 0.9061644077301025, acc 0.9063355922698975, acc 0.8878424763679504"
2,"loss 0.21896110475063324, loss 0.11401791125535965, loss 0.11680148541927338, loss 0.08507449179887772, loss 0.23178640007972717","acc 0.9230877757072449, acc 0.9712992906570435, acc 0.9633818864822388, acc 0.9691785573959351, acc 0.9459918141365051"
3,"loss 3.7530465126037598, loss 0.9820264577865601, loss 0.01853722333908081, loss 0.0, loss 0.002259626053273678","acc 0.5711835622787476, acc 0.8078902363777161, acc 0.9982847571372986, acc 1.0, acc 1.0"
4,"loss 0.0, loss 0.0, loss 5.199674129486084, loss 2.3031206130981445, loss 1.214957356452942","acc 1.0, acc 1.0, acc 0.6468067169189453, acc 0.0, acc 0.0"
5,"loss 1.5942364931106567, loss 0.6909160614013672, loss 0.7174426913261414, loss 0.6847631335258484, loss 0.687296450138092","acc 0.5645714402198792, acc 0.572857141494751, acc 0.43457141518592834, acc 0.538428544998169, acc 0.5881428718566895"
6,"loss 0.003973831422626972, loss 0.8406974077224731, loss 0.0610114224255085, loss 0.07100562006235123, loss 0.3099687695503235","acc 1.0, acc 0.7865168452262878, acc 0.9887640476226807, acc 0.9775280952453613, acc 0.8876404762268066"
7,"loss 0.33654797077178955, loss 0.28520122170448303, loss 0.330249547958374, loss 0.320722371339798, loss 0.35346683859825134","acc 0.8947156071662903, acc 0.9108511209487915, acc 0.8975393176078796, acc 0.9019765853881836, acc 0.8866478204727173"
8,"loss 0.19605058431625366, loss 0.2585424482822418, loss 0.16138383746147156, loss 0.13185793161392212, loss 0.1624559760093689","acc 0.9473684430122375, acc 0.9415204524993896, acc 0.9415204524993896, acc 0.9532163739204407, acc 0.9532163739204407"
9,"loss 0.01978909969329834, loss 0.00022320880088955164, loss 0.011811699718236923, loss 9.590629633748904e-05, loss 5.62048917345237e-05","acc 0.9939758777618408, acc 1.0, acc 0.9939758777618408, acc 1.0, acc 1.0"
10,"loss 0.0, loss 0.0, loss 10.206899642944336, loss 0.00625260453671217, loss 8.362280641449615e-05","acc 1.0, acc 1.0, acc 0.0, acc 1.0, acc 1.0"
11,"loss 0.31753382086753845, loss 0.0152574572712183, loss 0.25290584564208984, loss 0.04844658076763153, loss 0.3398980498313904","acc 0.8869102001190186, acc 0.9940639138221741, acc 0.9415525197982788, acc 0.983561635017395, acc 0.9170472025871277"
12,"loss 0.45447805523872375, loss 0.007185763213783503, loss 0.3631117641925812, loss 0.08525202423334122, loss 0.3978498578071594","acc 0.8666666746139526, acc 1.0, acc 0.8999999761581421, acc 1.0, acc 0.8999999761581421"
13,"loss 0.11220529675483704, loss 0.05930931866168976, loss 0.09896817803382874, loss 0.04267233982682228, loss 0.06868850439786911","acc 0.9762823581695557, acc 0.9897539615631104, acc 0.9797609448432922, acc 0.9936120510101318, acc 0.987160861492157"
14,"loss 0.9265080094337463, loss 0.9879119396209717, loss 0.01692555658519268, loss 0.02498687244951725, loss 0.008925571106374264","acc 0.8536585569381714, acc 0.7317073345184326, acc 1.0, acc 1.0, acc 1.0"
15,"loss 0.08996643126010895, loss 0.0741073414683342, loss 0.0763164758682251, loss 0.05981149896979332, loss 0.04537136107683182","acc 0.9706224799156189, acc 0.9706224799156189, acc 0.9709133505821228, acc 0.9738219976425171, acc 0.9808027744293213"
16,"loss 0.29370737075805664, loss 0.3084694445133209, loss 0.3653412461280823, loss 0.3740662932395935, loss 0.23566029965877533","acc 0.9423999786376953, acc 0.9079999923706055, acc 0.8808000087738037, acc 0.8763999938964844, acc 0.9423999786376953"
17,"loss 0.0032817283645272255, loss 0.002845318289473653, loss 0.005508506204932928, loss 0.5723859071731567, loss 0.014963244087994099","acc 1.0, acc 1.0, acc 1.0, acc 1.0, acc 1.0"
18,"loss 0.7124987840652466, loss 0.6713356971740723, loss 0.5979485511779785, loss 0.5965054631233215, loss 0.6599366664886475","acc 0.2623211443424225, acc 0.6305246353149414, acc 0.8368839621543884, acc 0.7357710599899292, acc 0.6282988786697388"
19,"loss 0.2960318922996521, loss 0.2775568664073944, loss 0.18964159488677979, loss 0.22197039425373077, loss 0.28879091143608093","acc 0.8804765343666077, acc 0.924673318862915, acc 0.9406226277351379, acc 0.9058416485786438, acc 0.8456956148147583"
